ethnic_group_code,ethnic_group,ethnic_group_countries
abk,Abkhaz (Abkhazians),"GEO, DEU, RUS, SYR, TUR, UKR"
abr,Aboriginal-Australians (Aborigines),AUS
ace,Acehnese (Achinese),"IDN, MYS"
acg,Achang,"CHN, MMR"
ach,Acholi,"SDN, UGA"
adi,Adivasi,"IND, NPL"
adj,Adjarians (Adzhars),"GEO, TUR"
ady,Adyghe (Circasians),"BGR, DEU, IRQ, ISR, JOR, LBY, NLD, RUS, SYR, TUR, USA"
aar,Afar,"DJI, ERI, ETH"
afr,Afrikaners,"BWA, LSO, MWI, SWZ, ZAF, ZMB, ZWE"
ahm,Ahmadis,"BGD, IND, IDN, PAK"
ain,Ainu,"JPN, RUS"
aja,Aja,"BEN, TGO"
aka,Akan (Asante),"BEN, BFA, CAN, CIV, FRA, GBR, GHA, JAM, LBR, MLI, NGA, SUR, TGO, USA"
aku,Aku (Creoles),GMB
alb,Albanians,"ALB, CAN, CHE, DEU, DNK, GBR, GRC, HRV, ITA, MKD, MTN, NLD, NOR, ROM, SRB, SWE, TUR, UKR, USA"
ale,Aleut,"RUS, USA"
alg,Algonquian,USA
alt,Altay (Altai),RUS
alu,Alur,"COD, UGA"
amb,Ambonese (Amboinese),IDN
ame,Americo-Liberians,LBR
amh,Amhara,"CAN, DJI, EGY, ERI, ETH, ISR, NOR, SDN, SOM, SWE, USA, YEM"
anp,Angika speakers,"IND, NPL"
nyn,Ankole,UGA
apa,Apache,USA
ara,Arab,"DZA, EGY, ISR, IRN, IRQ, JOR, KWT, LBN, LBY, MAR, MLI, SAU, SDN, SOM, SYR, TCD, TUN, USA, YEM"
arg,Aragonese,ESP
arp,Arapaho,USA
arw,Arawak,"COL, GUY, SUR, VEN"
atg,Argentinians,"ARG, AUS, BOL, BRA, CAN, CHE, CHL, DEU, ESP, FRA, GBR, ISR, ITA, JPN, MEX, PER, PRY, URY, USA, VEN"
arm,Armenian,"ARG, ARM, AUS, AZE, BRA, CAN, CYP, FRA, GEO, GRC, RN, LBN, POL, RUS, SYR, TUR, UKR, USA"
rup,Aromanians,"ALB, BGR, GRC, MKD, ROM, SRB"
twi,Ashanti,"CIV, GHA"
asa,Asian,"AUS, CHN, GBR, JPN, KOR, LAO, MMR, PRK, THA, UGA, USA, VNM, ZAF"
asm,Assamese,IND
asy,Assyrian,"AUS, BEL, CAN, CHE, DEU, DNK, FRA, IRN, IRQ, ITA, JOR, LBN, NLD, RUS, SWE, TUR, USA"
ast,Asturian,ESP
ata,Atacamenos,CHL
ath,Athabaskan,"CAN, USA"
aus,Australians,AUS
auu,Austrians,"AUS, AUT, ARG, CAN, CHE, CZE, DEU, GBR, GRC, HUN, ITA, NZL, SWE, USA, ZAF"
awa,Awadhi,IND
aym,Aymara,"BOL, CHL, PER"
znd,Azande (Azande-Mangbetu),"CAF, COD, SDN"
aze,Azerbaijani (Azeri),"AUT, AZE, BLR, CAN, DEU, GBR, IRN, KAZ, KGZ, LVA, NLD, RUS, TUR, UKR, USA, UZB"
bad,Baganda,"CAN, GBR, SWE, UGA, ZAF, USA"
bii,Bai,CHN
bkn,Bakongo,"AGO, COD, COG"
bkw,Bakweri,CMR
bln,Balanta,"GMB, GNB, SEN"
ban,Balinese,IDN
blk,Balkars,"KAZ, RUS"
bal,Baloch (Baluchis),"AFG, ARE, IRN, OMN, PAK"
bmr,Bamar (Barman),"AUS, GBR, MMR, THA, SGP, MYS, GBR, AUS, USA"
bam,Bambara,"BFA, GIN, MLI, NER, SEN"
bai,Bamileke,CMR
bnt,Bantu,"AGO, CMR, COD, NAM, TZA, ZAF, ZMB"
bny,Banyarwanda,"COD, UGA"
bar,Bari,SDN
brb,Bariba,BEN
bak,Bashkirs,"BLR, KAZ, KGZ, RUS, TJK, UKR, UZB"
bas,Basoga (Bassa/Duala),"CMR, UGA"
baq,Basque,"ARG, CHL, CRI, CUB, BOL, BRA, ESP, FRA, MEX, URY, USA, VEN"
bst,Baster,NAM
btk,Batak,IDN
bke,Bateke,"COD, COG, GAB"
bej,Beja,"EGY, ERI, SDN"
bel,Belarusians (Byelorussians),"ARG, BEL, BLR, BRA, CAN, EST, GBR, ISR, KAZ, LTU, LVA, MDA, POL, RUS, UKR, USA"
bem,Bemba,ZMB
ben,Bengali-Hindu (Bengali),"BGD, GBR, IND, NPL, MMR, MYS, PAK, SWE, THA, USA"
bni,Beni-Shugal-Gumez,ETH
ber,Berber,"CAN, DZA, EGY, LBY, MAR, MLI, NER, TUN, USA"
bte,Beti-Pahuin (Beti),"CMR, COG, GAB, GNQ, STP"
bey,Beydan (White Moors),"DZA, LBY, MRT, MAR, TUN"
bho,Bhojpuri,"FJI, GUY, IND, MUS, NPL, SUR, TTO"
bik,Bicolano,PHL
bih,Bihari,"BGD, FJI, GBR, GUY, IND, MUS, NPL, PAK, SUR, TTO, USA"
byn,Bilen,ERI
afa,Black-African (Africans),"BRA, COL, CRI, CUB, DZA, ECU, GBR, HTI, LBY, MEX, MLI, MRT, NIC, PER, TTO, USA, VEN, ZAF, ZWE"
blg,Blang,"CHN, MMR, THA"
bod,Bodo,IND
bol,Bolivia,"BOL, CHL, PER, PRY"
bon,Bonan,CHN
bos,Bosniaks,"AUS, AUT, BEL, BIH, DEU, DNK, HRV, ITA, MKD, MTN, NOR, SRB, SVN, SWE, TUR, USA"
